date,region,state_po,candidate,party,voteshare,candidatevotes,totalvotes,ev,version
11/8/2016,Ohio,OH,Clinton,democrat,43.5580762767200,,,,20171015
11/8/2016,Ohio,OH,Johnson,libertarian,3.17,,,,JJCooley
11/8/2016,Ohio,OH,Stein,green,0.84182860798178900,,,,20171015
11/8/2016,Oklahoma,OK,Trump,republican,65.322864819627400,,,,20171015
11/8/2016,Oklahoma,OK,Clinton,democrat,28.931680284543900,,,,20171015
11/8/2016,Oklahoma,OK,Johnson,libertarian,5.7454548958287500,,,,20171015
11/8/2016,Oregon,OR,Clinton,democrat,50.071852002862100,,,,20171015
11/8/2016,Oregon,OR,Trump,republican,39.094035184496800,,,,20171015
11/8/2016,Oregon,OR,Johnson,libertarian,4.7084047856032200,,,,20171015
11/8/2016,Oregon,OR,Stein,green,2.498431048059900,,,,20171015
11/8/2016,Pennsylvania,PA,Trump,republican,48.57788580374600,,,,20171015
11/8/2016,Pennsylvania,PA,Clinton,democrat,47.853616164562900,,,,20171015
11/8/2016,Pennsylvania,PA,Johnson,libertarian,2.3991063874459900,,,,20171015
11/8/2016,Pennsylvania,PA,Stein,green,0.81664296149296500,,,,20171015
11/8/2016,Pennsylvania,PA,Castle,constitution party,0.35274868275217200,,,,20171015
11/8/2016,Rhode Island,RI,Clinton,democrat,54.406606570374700,,,,20171015
11/8/2016,Rhode Island,RI,Trump,republican,38.898057499396700,,,,20171015
11/8/2016,Rhode Island,RI,Johnson,libertarian,3.1770312661587800,,,,20171015
11/8/2016,Rhode Island,RI,Stein,green,1.3401013478575600,,,,20171015
11/8/2016,Rhode Island,RI,De La Fuente,american delta party,0.1445672032817400,,,,20171015
11/8/2016,South Carolina,SC,Trump,republican,54.939332685695400,,,,20171015
11/8/2016,South Carolina,SC,Clinton,democrat,40.673419789665100,,,,20171015
11/8/2016,South Carolina,SC,Johnson,libertarian,2.3396751444465500,,,,20171015
11/8/2016,South Carolina,SC,McMullin,independence,0.99932145426568500,,,,20171015
11/8/2016,South Carolina,SC,Stein,green,0.6197733077131200,,,,20171015
11/8/2016,South Carolina,SC,Castle,constitution party,0.27412867262284300,,,,20171015
11/8/2016,South Carolina,SC,Skewes,american,0.15434894559128300,,,,20171015
11/8/2016,South Dakota,SD,Trump,republican,61.530750378958800,,,,20171015
11/8/2016,South Dakota,SD,Clinton,democrat,31.73742815994900,,,,20171015
11/8/2016,South Dakota,SD,Johnson,libertarian,5.6337190922281700,,,,20171015
11/8/2016,South Dakota,SD,Castle,constitution party,1.0981023688640400,,,,20171015
11/8/2016,Tennessee,TN,Trump,republican,60.722033694214600,,,,20171015
11/8/2016,Tennessee,TN,Clinton,democrat,34.716332798650100,,,,20171015
11/8/2016,Tennessee,TN,Johnson,libertarian,2.81,,,,JJCooley
11/8/2016,Texas,TX,Trump,republican,52.234685579335400,,,36,20171015
11/8/2016,Texas,TX,Clinton,democrat,43.23525798101200,,,,20171015
11/8/2016,Texas,TX,Johnson,libertarian,3.1607186617886500,,,,20171015
11/8/2016,Texas,TX,Stein,green,0.7978168907774200,,,,20171015
11/8/2016,Texas,TX,Paul,independent,0,,,1,JJCooley
11/8/2016,Texas,TX,Kasich,independent,0,,,1,JJCooley
11/8/2016,Utah,UT,Trump,republican,45.540816588100400,,,,20171015
11/8/2016,Utah,UT,Clinton,democrat,27.46126859226900,,,,20171015
11/8/2016,Utah,UT,McMullin,no party affiliation,21.538230381,,,,JJCooley
