date,region,district,candidate,party,voteshare,candidatevotes,totalvotes
11/8/2016,IL,7,Davis,democrat,84.239543,,
11/8/2016,IL,8,Krishnamoorthi,democrat,58.314928,,
11/8/2016,IL,8,Dicianni,republican,41.685072,,
11/8/2016,IL,9,Lasonde,republican,33.516289,,
11/8/2016,IL,9,Schakowsky,democrat,66.483711,,
11/8/2016,IL,10,Schneider,democrat,52.605168,,
11/8/2016,IL,10,Dold,republican,47.394832,,
11/8/2016,IL,11,Khouri,republican,39.552133,,
11/8/2016,IL,11,Foster,democrat,60.447867,,
11/8/2016,IL,12,Baricevic,democrat,39.694954,,
11/8/2016,IL,12,Bost,republican,54.305084,,
11/8/2016,IL,12,Bradshaw,green,5.999962,,
11/8/2016,IL,13,Wicklund,democrat,40.335057,,
11/8/2016,IL,13,Davis,republican,59.664943,,
11/8/2016,IL,14,Walz,democrat,40.695126,,
11/8/2016,IL,14,Hultgren,republican,59.304874,,
11/8/2016,IL,15,Shimkus,republican,100,,
11/8/2016,IL,16,Kinzinger,republican,100,,
11/8/2016,IL,17,Harlan,republican,39.691989,,
11/8/2016,IL,17,Bustos,democrat,60.308011,,
11/8/2016,IL,18,Lahood,republican,72.134556,,
11/8/2016,IL,18,Rodriguez,democrat,27.865444,,
11/8/2016,IL,PV,democrat,democrat,53.620833730802300,,
11/8/2016,IL,PV,republican,republican,45.73950205093960,,
11/8/2016,IN,1,Dunn,libertarian,18.48283,,
11/8/2016,IN,1,Visclosky,democrat,81.51717,,
11/8/2016,IN,2,Coleman,democrat,36.920287,,
11/8/2016,IN,2,Cenkush,libertarian,3.82215,,
11/8/2016,IN,2,Walorski,republican,59.257563,,
11/8/2016,IN,3,Snyder,libertarian,6.90277,,
11/8/2016,IN,3,Schrader,democrat,22.984748,,
11/8/2016,IN,3,Banks,republican,70.112482,,
11/8/2016,IN,4,Mayoras,libertarian,4.931304,,
11/8/2016,IN,4,Dale,democrat,30.476165,,
11/8/2016,IN,4,Rokita,republican,64.592531,,
11/8/2016,IN,5,Wittlief,libertarian,4.244673,,
11/8/2016,IN,5,Demaree,democrat,34.294377,,
11/8/2016,IN,5,Brooks,republican,61.46095,,
11/8/2016,IN,6,Welsh,democrat,26.700069,,
11/8/2016,IN,6,Messer,republican,69.139801,,
11/8/2016,IN,6,Turvey,libertarian,4.16013,,
11/8/2016,IN,7,Ping,republican,35.688216,,
11/8/2016,IN,7,Carson,democrat,59.976197,,
11/8/2016,IN,7,Thompson,libertarian,4.335588,,
11/8/2016,IN,8,Bucshon,republican,63.689759,,
11/8/2016,IN,8,Horning,libertarian,4.633321,,
11/8/2016,IN,8,Drake,democrat,31.67692,,
11/8/2016,IN,9,Yoder,democrat,40.461463,,
11/8/2016,IN,9,Hollingsworth,republican,54.141177,,
11/8/2016,IN,9,Brooksbank,libertarian,5.39736,,
11/8/2016,IN,PV,libertarian,libertarian,6.111309646961460,,
11/8/2016,IN,PV,democrat,democrat,39.60731280681630,,
11/8/2016,IN,PV,republican,republican,54.281377546222300,,
11/8/2016,KS,1,Lapolice,independent,26.347643,,
11/8/2016,KS,1,Burt,libertarian,7.532566,,
11/8/2016,KS,1,Marshall,republican,66.119791,,
11/8/2016,KS,2,Potter,democrat,32.562096,,
11/8/2016,KS,2,Bales,libertarian,6.500651,,
11/8/2016,KS,2,Jenkins,republican,60.937253,,
11/8/2016,KS,3,Yoder,republican,51.301466,,
11/8/2016,KS,3,Hohe,libertarian,8.099664,,
11/8/2016,KS,3,Sidie,democrat,40.59887,,
11/8/2016,KS,4,Bakken,libertarian,2.810889,,
11/8/2016,KS,4,Allen,independent,6.91042,,
11/8/2016,KS,4,Pompeo,republican,60.671169,,
11/8/2016,KS,4,Giroux,democrat,29.607522,,
11/8/2016,KS,PV,independent,independent,7.397289706717410,,
11/8/2016,KS,PV,libertarian,libertarian,6.328707043113340,,
11/8/2016,KS,PV,republican,republican,59.19195949736630,,
11/8/2016,KS,PV,democrat,democrat,27.08204375280300,,
11/8/2016,KY,1,Gaskins,democrat,27.358045,,
11/8/2016,KY,1,Comer,republican,72.641955,,
