date,region,state_po,class,special,runoff,offyear,candidate,party,writein,voteshare,candidatevotes,totalvotes,version
11/8/2016,Nevada,NV,3,FALSE,FALSE,FALSE,Sawyer,none,FALSE,0.0128197030751768,,,20210114
11/8/2016,Nevada,NV,3,FALSE,FALSE,FALSE,Masto,democrat,FALSE,0.470988744863727,,,20210114
11/8/2016,Nevada,NV,3,FALSE,FALSE,FALSE,Gumina,none,FALSE,0.00969056946983382,,,20210114
11/8/2016,Nevada,NV,3,FALSE,FALSE,FALSE,Jones,independent american,FALSE,0.0154543830427666,,,20210114
11/8/2016,Nevada,NV,3,FALSE,FALSE,FALSE,None,,FALSE,0.0381279696542614,,,20210114
11/8/2016,Nevada,NV,3,FALSE,FALSE,FALSE,Williams,none,FALSE,0.00621495740299957,,,20210114
11/8/2016,New Hampshire,NH,3,FALSE,FALSE,FALSE,Ayotte,republican,FALSE,0.478437102578673,,,20210114
11/8/2016,New Hampshire,NH,3,FALSE,FALSE,FALSE,Hassan,democrat,FALSE,0.479813025949076,,,20210114
11/8/2016,New Hampshire,NH,3,FALSE,FALSE,FALSE,Chabot,libertarian,FALSE,0.0170427794463836,,,20210114
11/8/2016,New Hampshire,NH,3,FALSE,FALSE,FALSE,Day,independent,FALSE,0.0240035717184836,,,20210114
11/8/2016,New York,NY,3,FALSE,FALSE,FALSE,Merced,libertarian,FALSE,0.00650302941356921,,,20210114
11/8/2016,New York,NY,3,FALSE,FALSE,FALSE,Schumer,working families,FALSE,0.032659340504896,,,20210114
11/8/2016,New York,NY,3,FALSE,FALSE,FALSE,Long,republican,FALSE,0.232969971277532,,,20210114
11/8/2016,New York,NY,3,FALSE,FALSE,FALSE,Long,reform,FALSE,0.00240723307794743,,,20210114
11/8/2016,New York,NY,3,FALSE,FALSE,FALSE,Schumer,women's equality,FALSE,0.00613558615645704,,,20210114
11/8/2016,New York,NY,3,FALSE,FALSE,FALSE,Schumer,democrat,FALSE,0.64653526279558,,,20210114
11/8/2016,New York,NY,3,FALSE,FALSE,FALSE,Long,conservative,FALSE,0.0361649843198083,,,20210114
11/8/2016,New York,NY,3,FALSE,FALSE,FALSE,Wilson,green,FALSE,0.0153265325924466,,,20210114
11/8/2016,New York,NY,3,FALSE,FALSE,FALSE,Schumer,independence,FALSE,0.0203593835602184,,,20210114
11/8/2016,North Carolina,NC,3,FALSE,FALSE,FALSE,Ross,democrat,FALSE,0.45365693106548,,,20210114
11/8/2016,North Carolina,NC,3,FALSE,FALSE,FALSE,Burr,republican,FALSE,0.510617797448932,,,20210114
11/8/2016,North Carolina,NC,3,FALSE,FALSE,FALSE,Haugh,libertarian,FALSE,0.0357252714855878,,,20210114
11/8/2016,North Dakota,ND,3,FALSE,FALSE,FALSE,Germalic,independent,FALSE,0.0136495951836637,,,20210114
11/8/2016,North Dakota,ND,3,FALSE,FALSE,FALSE,Hoeven,republican,FALSE,0.784780190422802,,,20210114
11/8/2016,North Dakota,ND,3,FALSE,FALSE,FALSE,Glassheim,democrat,FALSE,0.169681256405091,,,20210114
11/8/2016,North Dakota,ND,3,FALSE,FALSE,FALSE,Marquette,libertarian,FALSE,0.0308203479697869,,,20210114
11/8/2016,Ohio,OH,3,FALSE,FALSE,FALSE,Rupert,none,FALSE,0.0143819578263708,,,20210114
11/8/2016,Ohio,OH,3,FALSE,FALSE,FALSE,Strickland,democrat,FALSE,0.371575560403441,,,20210114
11/8/2016,Ohio,OH,3,FALSE,FALSE,FALSE,Demare,green,FALSE,0.0164204144123626,,,20210114
11/8/2016,Ohio,OH,3,FALSE,FALSE,FALSE,Connors,none,FALSE,0.0173126462087871,,,20210114
11/8/2016,Ohio,OH,3,FALSE,FALSE,FALSE,Portman,republican,FALSE,0.580288766773772,,,20210114
11/8/2016,Oklahoma,OK,3,FALSE,FALSE,FALSE,Workman,democrat,FALSE,0.245786911612676,,,20210114
11/8/2016,Oklahoma,OK,3,FALSE,FALSE,FALSE,Lankford,republican,FALSE,0.677389615116084,,,20210114
11/8/2016,Oklahoma,OK,3,FALSE,FALSE,FALSE,Braddy,independent,FALSE,0.0279030998303232,,,20210114
11/8/2016,Oklahoma,OK,3,FALSE,FALSE,FALSE,Murphy,libertarian,FALSE,0.0299859051536311,,,20210114
11/8/2016,Oklahoma,OK,3,FALSE,FALSE,FALSE,Beard,independent,FALSE,0.0189344682872863,,,20210114
11/8/2016,Oregon,OR,3,FALSE,FALSE,FALSE,Navickas,pacific green,FALSE,0.0250056594747803,,,20210114
11/8/2016,Oregon,OR,3,FALSE,FALSE,FALSE,Wyden,democrat,FALSE,0.566008426215302,,,20210114
11/8/2016,Oregon,OR,3,FALSE,FALSE,FALSE,Lewallen,working families,FALSE,0.0317109847076382,,,20210114
11/8/2016,Oregon,OR,3,FALSE,FALSE,FALSE,Reynolds,independent,FALSE,0.0304822896852103,,,20210114
11/8/2016,Oregon,OR,3,FALSE,FALSE,FALSE,Callahan,republican,FALSE,0.333476740839077,,,20210114
11/8/2016,Oregon,OR,3,FALSE,FALSE,FALSE,Lindsay,libertarian,FALSE,0.0122618539107739,,,20210114
11/8/2016,Pennsylvania,PA,3,FALSE,FALSE,FALSE,McGinty,democrat,FALSE,0.473410471101758,,,20210114
11/8/2016,Pennsylvania,PA,3,FALSE,FALSE,FALSE,Clifford,libertarian,FALSE,0.0388545266113404,,,20210114
11/8/2016,Pennsylvania,PA,3,FALSE,FALSE,FALSE,Toomey,republican,FALSE,0.487735002286902,,,20210114
11/8/2016,South Carolina,SC,3,FALSE,FALSE,FALSE,Dixon,democrat,FALSE,0.343695988034497,,,20210114
11/8/2016,South Carolina,SC,3,FALSE,FALSE,FALSE,Bledsoe,libertarian,FALSE,0.0121128273524521,,,20210114
11/8/2016,South Carolina,SC,3,FALSE,FALSE,FALSE,Dixon,working families,FALSE,0.0183472991029288,,,20210114
11/8/2016,South Carolina,SC,3,FALSE,FALSE,FALSE,Bledsoe,constitution,FALSE,0.00617202946690388,,,20210114
11/8/2016,South Carolina,SC,3,FALSE,FALSE,FALSE,Scott,republican,FALSE,0.605694541129708,,,20210114
11/8/2016,South Carolina,SC,3,FALSE,FALSE,FALSE,Scarborough,american,FALSE,0.00581640114874289,,,20210114
11/8/2016,South Carolina,SC,3,FALSE,FALSE,FALSE,Dixon,green,FALSE,0.0072550128226205,,,20210114
11/8/2016,South Dakota,SD,3,FALSE,FALSE,FALSE,Thune,republican,FALSE,0.718278615794144,,,20210114
11/8/2016,South Dakota,SD,3,FALSE,FALSE,FALSE,Williams,democrat,FALSE,0.281721384205856,,,20210114
11/8/2016,Utah,UT,3,FALSE,FALSE,FALSE,Lee,republican,FALSE,0.681455346666272,,,20210114
11/8/2016,Utah,UT,3,FALSE,FALSE,FALSE,Barron,none,FALSE,0.0234550006588483,,,20210114
11/8/2016,Utah,UT,3,FALSE,FALSE,FALSE,Fonua,independent american,FALSE,0.0245064688149604,,,20210114
11/8/2016,Utah,UT,3,FALSE,FALSE,FALSE,Snow,democrat,FALSE,0.270583183859919,,,20210114
11/8/2016,Vermont,VT,3,FALSE,FALSE,FALSE,Milne,republican,FALSE,0.329765332909076,,,20210114
