"year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","special","candidate","party_detailed","writein","mode","candidatevotes","totalvotes","unofficial","version","party_simplified"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"ARDEN WELLS","NONE",FALSE,"total",1483,1997218,FALSE,"20210114","OTHER"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"TROY HEBERT","NONE",FALSE,"total",9503,1997218,FALSE,"20210114","OTHER"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"JOHN KENNEDY","REPUBLICAN",FALSE,"total",536191,1997218,FALSE,"20210114","REPUBLICAN"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"GREGORY TAYLOR, JR.","OTHER",FALSE,"total",1151,1997218,FALSE,"20210114","OTHER"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"THOMAS P. CLEMENTS","LIBERTARIAN",FALSE,"total",11370,1997218,FALSE,"20210114","LIBERTARIAN"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"GARY LANDRIEU","DEMOCRAT",FALSE,"total",45587,1997218,FALSE,"20210114","DEMOCRAT"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"FOSTER CAMPBELL","DEMOCRAT",FALSE,"total",347816,1997218,FALSE,"20210114","DEMOCRAT"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"ABHAY PATEL","REPUBLICAN",FALSE,"total",1576,1997218,FALSE,"20210114","REPUBLICAN"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"""JOSEPH"" CAO","REPUBLICAN",FALSE,"total",21019,1997218,FALSE,"20210114","REPUBLICAN"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"DAVID DUKE","REPUBLICAN",FALSE,"total",58606,1997218,FALSE,"20210114","REPUBLICAN"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"DONALD ""CRAWDADDY"" CRAWFORD","REPUBLICAN",FALSE,"total",25523,1997218,FALSE,"20210114","REPUBLICAN"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"CHARLES MARSALA","REPUBLICAN",FALSE,"total",3684,1997218,FALSE,"20210114","REPUBLICAN"
2016,"MARYLAND","MD",24,52,52,"US SENATE","statewide","gen",FALSE,"CHRIS VAN HOLLEN","DEMOCRAT",FALSE,"total",1659907,2726170,FALSE,"20210114","DEMOCRAT"
